Core, 0
CORE_CUM_STREAM_LENGTH_20_total_count,         32464
CORE_CUM_STREAM_LENGTH_20_total_pct,       13.814

CORE_CUM_STREAM_LENGTH_30_count,          4440
CORE_CUM_STREAM_LENGTH_30_pct,        3.458
CORE_CUM_STREAM_LENGTH_30_total_count,          8194
CORE_CUM_STREAM_LENGTH_30_total_pct,        3.487

CORE_CUM_STREAM_LENGTH_40_count,         10096
CORE_CUM_STREAM_LENGTH_40_pct,        7.864
CORE_CUM_STREAM_LENGTH_40_total_count,         16386
CORE_CUM_STREAM_LENGTH_40_total_pct,        6.973

CORE_CUM_STREAM_LENGTH_50_count,           833
CORE_CUM_STREAM_LENGTH_50_pct,        0.649
CORE_CUM_STREAM_LENGTH_50_total_count,          2565
CORE_CUM_STREAM_LENGTH_50_total_pct,        1.091

CORE_CUM_STREAM_LENGTH_60_count,           512
CORE_CUM_STREAM_LENGTH_60_pct,        0.399
CORE_CUM_STREAM_LENGTH_60_total_count,          1331
CORE_CUM_STREAM_LENGTH_60_total_pct,        0.566

CORE_CUM_STREAM_LENGTH_70_count,           294
CORE_CUM_STREAM_LENGTH_70_pct,        0.229
CORE_CUM_STREAM_LENGTH_70_total_count,          1039
CORE_CUM_STREAM_LENGTH_70_total_pct,        0.442

CORE_CUM_STREAM_LENGTH_80_count,           917
CORE_CUM_STREAM_LENGTH_80_pct,        0.714
CORE_CUM_STREAM_LENGTH_80_total_count,          1585
CORE_CUM_STREAM_LENGTH_80_total_pct,        0.674

CORE_CUM_STREAM_LENGTH_90_count,          1375
CORE_CUM_STREAM_LENGTH_90_pct,        1.071
CORE_CUM_STREAM_LENGTH_90_total_count,          4019
CORE_CUM_STREAM_LENGTH_90_total_pct,        1.710

CORE_CUM_STREAM_LENGTH_100_P_count,         90958
CORE_CUM_STREAM_LENGTH_100_P_pct,       70.846
CORE_CUM_STREAM_LENGTH_100_P_total_count,        140572
CORE_CUM_STREAM_LENGTH_100_P_total_pct,       59.817
CORE_CUM_STREAM_LENGTH_100_P_sum_count,        128389
CORE_CUM_STREAM_LENGTH_100_P_sum_pct,      100.000
CORE_CUM_STREAM_LENGTH_100_P_sum_total_count,        235003
CORE_CUM_STREAM_LENGTH_100_P_sum_total_pct,      100.000
CORE_CUM_STREAM_LENGTH_100_P_mean,         7.97
CORE_CUM_STREAM_LENGTH_100_P_stddev,         7.46
CORE_CUM_STREAM_LENGTH_100_P_total_mean,         7.07
CORE_CUM_STREAM_LENGTH_100_P_total_stddev,         6.62

CORE_STREAM_TRAIN_HITS_0_count,          1108
CORE_STREAM_TRAIN_HITS_0_pct,       69.164
CORE_STREAM_TRAIN_HITS_0_total_count,          3304
CORE_STREAM_TRAIN_HITS_0_total_pct,       72.904

CORE_STREAM_TRAIN_HITS_10_count,           312
CORE_STREAM_TRAIN_HITS_10_pct,       19.476
CORE_STREAM_TRAIN_HITS_10_total_count,           860
CORE_STREAM_TRAIN_HITS_10_total_pct,       18.976

CORE_STREAM_TRAIN_HITS_20_count,            30
CORE_STREAM_TRAIN_HITS_20_pct,        1.873
CORE_STREAM_TRAIN_HITS_20_total_count,            76
CORE_STREAM_TRAIN_HITS_20_total_pct,        1.677

CORE_STREAM_TRAIN_HITS_30_count,            28
CORE_STREAM_TRAIN_HITS_30_pct,        1.748
CORE_STREAM_TRAIN_HITS_30_total_count,            70
CORE_STREAM_TRAIN_HITS_30_total_pct,        1.545

CORE_STREAM_TRAIN_HITS_40_count,            21
CORE_STREAM_TRAIN_HITS_40_pct,        1.311
CORE_STREAM_TRAIN_HITS_40_total_count,            36
CORE_STREAM_TRAIN_HITS_40_total_pct,        0.794

CORE_STREAM_TRAIN_HITS_50_count,             6
CORE_STREAM_TRAIN_HITS_50_pct,        0.375
CORE_STREAM_TRAIN_HITS_50_total_count,            17
CORE_STREAM_TRAIN_HITS_50_total_pct,        0.375

CORE_STREAM_TRAIN_HITS_60_count,            27
CORE_STREAM_TRAIN_HITS_60_pct,        1.685
CORE_STREAM_TRAIN_HITS_60_total_count,            43
CORE_STREAM_TRAIN_HITS_60_total_pct,        0.949

CORE_STREAM_TRAIN_HITS_70_count,             6
CORE_STREAM_TRAIN_HITS_70_pct,        0.375
CORE_STREAM_TRAIN_HITS_70_total_count,            14
CORE_STREAM_TRAIN_HITS_70_total_pct,        0.309

CORE_STREAM_TRAIN_HITS_80_count,             2
CORE_STREAM_TRAIN_HITS_80_pct,        0.125
CORE_STREAM_TRAIN_HITS_80_total_count,             5
CORE_STREAM_TRAIN_HITS_80_total_pct,        0.110

CORE_STREAM_TRAIN_HITS_90_count,             3
CORE_STREAM_TRAIN_HITS_90_pct,        0.187
CORE_STREAM_TRAIN_HITS_90_total_count,             3
CORE_STREAM_TRAIN_HITS_90_total_pct,        0.066

CORE_STREAM_TRAIN_HITS_100_P_count,            59
CORE_STREAM_TRAIN_HITS_100_P_pct,        3.683
CORE_STREAM_TRAIN_HITS_100_P_total_count,           104
CORE_STREAM_TRAIN_HITS_100_P_total_pct,        2.295
CORE_STREAM_TRAIN_HITS_100_P_sum_count,          1602
CORE_STREAM_TRAIN_HITS_100_P_sum_pct,      100.000
CORE_STREAM_TRAIN_HITS_100_P_sum_total_count,          4532
CORE_STREAM_TRAIN_HITS_100_P_sum_total_pct,      100.000
CORE_STREAM_TRAIN_HITS_100_P_mean,         0.88
CORE_STREAM_TRAIN_HITS_100_P_stddev,         2.04
CORE_STREAM_TRAIN_HITS_100_P_total_mean,         0.64
CORE_STREAM_TRAIN_HITS_100_P_total_stddev,         1.68

CORE_CUM_STREAM_TRAIN_HITS_0_count,          7191
CORE_CUM_STREAM_TRAIN_HITS_0_pct,       13.720
CORE_CUM_STREAM_TRAIN_HITS_0_total_count,         21027
CORE_CUM_STREAM_TRAIN_HITS_0_total_pct,       20.864

CORE_CUM_STREAM_TRAIN_HITS_10_count,          4159
CORE_CUM_STREAM_TRAIN_HITS_10_pct,        7.935
CORE_CUM_STREAM_TRAIN_HITS_10_total_count,         11129
